B1,B2,B3,B4,B5,水温,DO,source
2.023294504733595,3.3023808059079576,6.856779791277972,5.021335315165975,2.1439387827289225,22.6,11.07,0
0.4545,1.6205,4.1835,2.8305,2.28325,23.5,8.08,1
4.951732056669363,7.130196520922245,10.261309679330356,10.159707170042669,4.017708329666951,18.2,7.1,0
4.508,5.29175,8.0775,6.62275,1.857,20.0,7.85,1
4.16975,5.74825,9.2985,6.28175,5.31925,27.3,8.75,1
2.3088730099008594,3.7143670814102183,4.630067933671763,2.1600944610548045,0.0022844936445693,17.1,9.15,0
2.4506062316544384,3.8194216841081374,4.682381867813714,2.314550979430304,0.0041227377443767,16.6,9.12,0
4.34575,5.24225,8.05825,6.10025,3.5455,22.2,9.04,1
2.530638035344687,4.243350567682609,5.529507997474083,2.5773508140966057,0.5157351298646486,17.5,9.36,0
2.174133379956509,3.4853698149927386,7.070022587261431,5.067066175204261,1.339325831336255,22.5,8.02,0
0.54525,1.978,5.124,3.9305,2.858,20.6,5.33,1
2.053861898947312,3.3624670478888503,6.898138973744687,4.992806502760482,2.184049702925164,23.3,9.56,0
2.585945623759852,3.897760115385,4.711899788496347,2.314718078590252,0.0044124876100802,16.6,9.12,0
2.2477147163536126,3.771946914475016,5.612588904178744,4.84395259922166,0.3170464948494422,15.6,7.72,0
1.948675339984934,3.245189534850595,4.925849715475034,4.288726963552225,0.8716561624346192,15.2,7.79,0
2.0895743330727536,3.473818158538606,7.084937708827711,5.096027331176325,1.1646876560216954,22.5,8.02,0
5.75925,6.90325,9.95025,7.214,3.93325,30.4,6.44,1
6.466,7.324,12.12825,11.328,4.51075,22.8,7.04,1
12.738295184704032,16.325736950439186,21.67843345870716,23.87610283339904,10.54617485955082,23.5,4.24,0
4.69450657995317,6.881852583526449,10.116507177273784,9.952793725954567,2.9403393376702667,18.2,7.1,0
1.7566954542178683,3.112490159253014,5.0563179275364645,4.613280898796599,0.4961711778891727,17.4,7.73,0
5.003,5.773,8.81175,7.2635,2.055,20.7,6.85,1
5.53925,6.653,9.07575,7.082,4.0625,18.7,7.86,1
7.52475,9.46625,13.71775,12.40875,9.018,30.8,6.07,1
2.5030002378821306,4.02904566886581,5.6898255735685614,4.667206249317874,0.1213296933606193,15.6,7.33,0
3.6005,4.244,5.971,3.738,3.298,13.9,9.1,1
7.77775,9.0125,15.277,13.858,4.41725,17.1,9.42,1
5.553,6.61725,9.4085,6.54575,3.375,15.9,10.24,1
3.96075,4.86,6.74925,5.04425,3.617,23.2,7.22,1
2.52525,3.1495,5.7565,3.72425,2.2145,17.2,10.35,1
2.96525,4.7335,8.88325,5.586,3.3035,22.3,9.47,1
9.397302115188536,14.282797990642957,21.59820083807997,15.13675573824194,1.549254742289977,16.7,9.28,0
0.042,1.417,3.386,0.23175,0.6745,30.2,8.02,1
6.4385,7.12325,9.161,6.818,3.6005,19.9,8.96,1
5.737019952574764,7.645242847780876,9.421124936390466,9.0767938553877,2.537035228003844,18.4,7.21,0
4.046,5.02775,7.01325,3.7435,1.68375,20.7,7.98,1
4.23575,5.2945,8.13525,6.1305,4.46125,19.2,9.54,1
3.390909221840222,4.894630418955981,6.484405439307686,6.152003247613196,2.7996997474474035,17.7,7.11,0
3.420161151828815,4.741708152544343,6.360248720361156,5.619795249569493,3.183007651823472,26.0,5.69,0
2.44732444511888,3.5920314761321226,4.997579721025641,4.309603396956928,2.791386636468873,26.0,5.69,0
2.433845055128883,3.8660007021886673,5.936244929385668,5.518400805528083,0.994504060555238,17.2,7.88,0
3.999937584707365,5.699768733259486,7.664780203027864,7.791571890507656,1.1130257093826226,18.2,8.43,0
2.1658077105418765,3.5739541743194687,7.209627072704461,5.155772224197807,1.4165753025720984,22.5,8.02,0
2.594,3.7985,6.77125,5.02775,4.02125,21.1,6.52,1
5.41275,6.60075,9.2325,6.0315,3.331,31.1,6.18,1
3.5059232992788125,5.627798438906636,9.984367612458142,8.794294015601087,2.925932241694518,26.1,3.56,0
2.416982936515646,3.937348055715995,5.517219094776357,3.0265635702619083,0.110318781564881,17.8,9.68,0
0.87525,2.99,7.83,6.862,0.713,23.0,6.57,1
0.08325,1.0705,5.8995,3.3255,2.59675,27.0,6.43,1
4.86275,6.829,12.901,12.0925,5.73175,25.9,6.88,1
5.17075,6.84,10.51675,7.51925,4.37875,33.2,3.64,1
4.7225,6.147,9.43325,7.81625,5.861,22.5,9.1,1
2.22825,3.177,4.91225,3.496,2.07975,19.9,6.49,1
0.9827816204244958,2.469089292489306,5.41322096640681,3.343875827838895,0.0781290694836511,13.9,10.67,0
0.81475,1.67275,3.089,1.56,1.50225,16.1,7.99,1
7.852928965786431,8.645971489814809,9.935766026242124,8.277407192235863,3.553329433955389,13.6,7.61,0
3.4000711763145253,5.5490619687538505,9.88865931349434,8.642515587719547,2.558056070822312,26.1,3.56,0
1.9277975661712203,3.267771287413425,6.792260232079653,4.770506725454299,0.5804834305935207,23.6,5.94,0
0.46,1.97525,5.278,2.26125,0.2125,25.9,5.22,1
0.37475,1.57925,4.58775,2.77275,1.87625,18.9,4.34,1
5.77575,6.323,8.44875,5.6135,1.90925,20.6,8.44,1
0.2675,0.5645,2.53625,0.9275,1.04025,32.8,6.58,1
3.38325,3.7655,5.52,3.6665,1.27675,19.8,8.96,1
0.57825,1.835,5.982,2.836,1.1365,27.8,7.0,1
4.47775,5.036,7.3185,5.58325,3.243,24.4,7.81,1
13.537213359363164,17.253091296164634,22.981505370237716,25.25792410718445,10.36040674468864,23.5,4.24,0
1.483,2.48675,3.859,0.17125,1.18875,32.4,8.25,1
2.639803983100659,4.020230063716705,5.203266265548288,3.1699198337544843,0.1157619394108674,16.9,9.28,0
3.9745,5.2175,8.74575,8.69625,2.75625,16.6,8.24,1
7.77775,9.0125,15.277,13.858,4.41725,17.1,9.42,1
3.363548762739938,4.9631725035092105,7.388366840771192,6.485665926646257,3.5825646166412057,25.6,6.54,0
4.079006880071983,6.037905325374754,8.878694054407115,7.661832166450033,3.89830853008082,25.6,6.54,0
5.9875,7.38725,11.592,10.14,5.11575,31.9,4.57,1
