SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,Ë®ÎÂ,ÈÜ½âÑõ
1.4093072509414297,2.3693720667727196,2.7355463860342843,2.4116375858860044,0.6950597446443134,22.7,9.64
1.4326215017344532,2.2182804796400033,2.6315559369416786,2.3362302533350876,1.3621825284327322,22.7,9.64
1.3855301660979846,2.1727764848892615,2.4006355785381173,2.0025120084008816,0.567651164424437,22.7,9.64
1.6812125952699561,2.4237507933347255,2.5884428516818128,2.3502664479182602,1.1966390830203095,22.7,9.64
1.55539002531974,2.3377287155253303,2.620064173876205,2.3366951283910398,1.0418699901619837,22.7,9.64
1.5176739261140255,2.126615696400321,2.1596135462202493,1.9253683493994305,0.606804962394234,22.7,9.64
1.4105730145190205,2.0782682402091077,2.261747726028413,1.967403781770189,0.7365949596236188,22.7,9.64
9.846052486523572,12.566502263200892,15.936263888988869,17.424934980974506,8.016889064952393,23.4,4.17
9.528149587105608,12.213361227973573,15.80351444800131,16.94989520649208,8.115619935084194,23.4,4.17
9.239339948997795,11.871755460416162,15.695396383126411,16.827280398352933,8.295666302905563,23.4,4.17
8.500693455970548,10.809018998317452,14.801065322376296,15.668720291380758,6.9151000762214,23.4,4.17
9.750307758070676,12.405888453823462,16.361329848967177,17.194346559597435,6.247149055359661,23.4,4.17
9.82324189691936,12.669714515803362,16.4486829264202,17.792717399053476,6.707876700816739,23.4,4.17
9.554992366153328,12.192584977178063,15.717438970095849,16.763315577758455,7.130988833447269,23.4,4.17
10.09067093408098,13.040933958948367,16.78320809801328,17.963571311703085,7.663732525787828,23.4,4.17
9.03525871879706,11.607450912497498,15.565340925869986,16.640076489774536,6.620985310064802,23.4,4.17
8.059946861451316,10.19271861626594,13.762780308424045,14.71161741101196,6.128018323049732,23.4,4.17
12.559312924488376,16.299236249058737,21.445388824839434,23.19077442619126,10.357743421436195,23.5,4.33
12.263612373013506,16.068975331581,21.05006245064948,22.730835591881988,10.245870027845463,23.5,4.33
12.867026890074174,16.942842334321586,22.759616585079332,24.547641370270465,9.97388342548036,23.5,4.33
12.482486156663654,16.36498769973263,21.847318216652464,23.70469112585129,10.09542438144791,23.5,4.33
12.451947444599547,16.575958707509272,22.534086721503755,24.19984162843443,10.046486240571017,23.5,4.33
12.773137243828046,16.935090349042568,23.098085916682418,24.66586582536108,9.935418505647945,23.5,4.33
11.822588591398418,15.644640638752849,20.723977466701957,22.701687745882907,9.806537327012192,23.5,4.33
12.05912622927659,16.09479573189902,21.63757301004255,23.2181621583663,9.690872298461555,23.5,4.33
12.052732386316722,16.15706134916477,22.28748211517346,23.715508878999913,9.271849811248332,23.5,4.33
12.537214775203788,16.693822665004667,23.169666453102177,24.56658004366772,9.760082669118315,23.5,4.33
12.778617091475438,16.107603130928723,21.08150557067688,22.81228678393696,11.851004777189205,23.5,4.24
12.865463633646668,16.378204850055663,21.49106888213043,23.473063636993846,11.427690013895035,23.5,4.24
13.631698641720568,17.27938013220921,22.750643196777173,24.71753429275771,11.73315296732534,23.5,4.24
13.264548824567772,16.934067564666446,22.490507485655296,24.605385599603608,11.159010158781193,23.5,4.24
12.738295184704032,16.325736950439186,21.67843345870716,23.87610283339904,10.54617485955082,23.5,4.24
12.296492876277432,15.740894379421212,20.792620092510287,22.833253270389076,10.733692767375874,23.5,4.24
14.200109339824124,17.867283111942918,23.650403052430278,25.7583798131591,11.282248222596714,23.5,4.24
13.537213359363164,17.253091296164634,22.981505370237713,25.25792410718445,10.360406744688639,23.5,4.24
12.816924217453758,16.357764537753113,21.936650836501293,24.30163895299068,9.618530064922048,23.5,4.24
11.568552176573204,14.766612626052556,20.119278015061195,21.968206622676874,8.926587222111342,23.5,4.24
2.444201354505157,3.4172252923177284,4.547045534422391,4.714830059811979,1.0682562659135961,17.2,5.81
2.466257641181125,3.4968511976568135,4.837917033181062,4.9765041115477935,1.1758139869370612,17.2,5.81
2.2199556069982243,3.139725208603305,4.112939736369047,4.197534071091072,1.2957704565898638,17.2,5.81
2.073468596573958,2.9358668700265147,3.879108561075445,4.002777502767132,0.9870565474939823,17.2,5.81
2.141965324849875,3.185016432256224,4.62071450345336,4.652493281985589,1.0779208175969843,17.2,5.81
2.4794482338797037,3.5068069790044536,4.822709727360906,5.000235834226191,1.0676273035693487,17.2,5.81
2.4453582442551585,3.469075980186202,4.91463711055637,5.009638585157607,1.1334034491346743,17.2,5.81
2.3419702918803247,3.3680947529690144,4.793213375045894,4.924448570436194,1.3259925416920681,17.2,5.81
2.1005249156418184,3.0932524468469547,4.402501021794645,4.399001787818954,0.5949718400939192,17.2,5.81
2.211705491785838,3.2547988349169588,4.719891108549642,4.78379765509367,1.0591618958436484,17.2,5.81
2.4470854592600615,3.8082567656799857,5.9016176739636075,5.447377799624645,0.9085850926189558,17.2,7.88
2.352683389362276,3.7350350086237203,5.720161728728429,5.335251567387632,0.93862768866427,17.2,7.88
2.433845055128883,3.8660007021886673,5.936244929385668,5.518400805528083,0.994504060555238,17.2,7.88
2.5889374158924747,3.9548797770701305,6.065198638980742,5.631286775111979,0.6288031630935935,17.2,7.88
2.371714241046694,3.7733371345246196,5.810585979586689,5.388271361240669,0.7433877438473865,17.2,7.88
2.2807067507058254,3.4546089186641455,5.157375315651416,4.937369599378873,0.5587529232159372,17.2,7.88
2.3216976253151396,3.7492736668080573,5.961118212131926,5.375094062757464,0.5952327991132018,17.2,7.88
2.4731034489964765,3.889600203216191,6.013367731343431,5.476989219891909,0.8099115188492817,17.2,7.88
